Date,Amount,Reference,Description,Particulars
26/05/19,-41.11,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
26/05/19,-24.00,"","HELL PIZZA HENDERSON AUC","KLAND NZ (106)"
27/05/19,-25.00,"","GALBRAITH BREWERY & ALE ","AUCKLAND NZ (114)"
27/05/19,-24.90,"","GALBRAITH BREWERY & ALE ","AUCKLAND NZ (114)"
27/05/19,-6.90,"","WENDYS OLD FASHIONED HAM","BAUCKLAND NZ (114)"
27/05/19,-8.40,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
28/05/19,-32.89,"","SUE'S PHARMACY WAITAKERE"," NZ NZ (106)"
28/05/19,-13.79,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
28/05/19,-20.00,"","SKINNY AUCKLAND NZ (106)"," "
29/05/19,2441.27,"","PAYMENT RECEIVED THANKYO","U NZ"
29/05/19,-8.10,"","DOMO SUSHI AUCKLAND NZ (","114)"
29/05/19,-9.70,"","NZ TRANSPORT AGENCY PALM"," NTH NZ (106)"
29/05/19,-35.00,"","FUNCTIONAL PHYSIO MT EDE","N NZ (114)"
29/05/19,-38.00,"","FUNCTIONAL PHYSIO MT EDE","N NZ (114)"
30/05/19,-5.50,"","ST LUKES POST SHOP AUCKL","AND NZ (106)"
30/05/19,-1.00,"","COUNTDOWN ST LUKES AUCKL","AND NZ (106)"
30/05/19,-15.49,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
01/06/19,-8.75,"","CARD/ACCOUNT FEE (106)  "," "
01/06/19,-8.75,"","CARD/ACCOUNT FEE (114)  "," "
01/06/19,-23.98,"","SUE'S PHARMACY WAITAKERE"," NZ NZ (106)"
01/06/19,-34.97,"","LIFE PHARMACY NORTHWES A","UCKLAND NZ (106)"
01/06/19,-38.00,"","FUNCTIONAL PHYSIO MT EDE","N NZ (114)"
01/06/19,-7.98,"","COUNTDOWN NORTHWEST WEST","GATE NTH NZ (106)"
01/06/19,-152.84,"","COUNTDOWN ONLINE SHOPPIN","GAUCKLAND NZ (106)"
01/06/19,-5.00,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
01/06/19,-5.42,"","INTEREST CHARGED        "," "
02/06/19,-58.97,"","SUE'S PHARMACY WAITAKERE"," NZ NZ (106)"
02/06/19,-67.00,"","MR ILLINGSWORTH AUCKLAND"," NZ (106)"
02/06/19,-98.00,"","HUE PONSONBY FREEMANS BA","Y NZ (106)"
02/06/19,-26.06,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
02/06/19,-16.00,"","SKINNY AUCKLAND NZ (106)"," "
02/06/19,-16.00,"","SKINNY AUCKLAND NZ (106)"," "
03/06/19,-24.30,"","WENDYS OLD FASHIONED HAM"," TE ATATU NZ (114)"
04/06/19,-26.95,"","NATURE BABY LIMITED GREY"," LYNN NZ (106)"
04/06/19,-49.25,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
05/06/19,-100.00,"","SAVE ANIMALS FROM EXPLOI","TWELLINGTON NZ (106)"
05/06/19,-3.50,"","DOMO SUSHI AUCKLAND NZ (","114)"
05/06/19,-13.80,"","THE DELICIOUS FOOD STORE"," AUCKLAND NZ (114)"
05/06/19,-10.00,"","WENDYS OLD FASHIONED HAM"," TE ATATU NZ (114)"
05/06/19,-27.18,"","FARMERS ST LUKES AUCKLAN","D NZ (106)"
05/06/19,-49.96,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
06/06/19,-19.99,"","LIFE PHARMACY NORTHWES A","UCKLAND NZ (106)"
06/06/19,-83.28,"","Z TE ATATU AUCKLAND NZ (","106)"
08/06/19,-3.50,"","Z TE ATATU AUCKLAND NZ (","106)"
08/06/19,-26.00,"","CHINOISERIE MT ALBERT NZ"," (106)"
08/06/19,-55.00,"","FARMERS ST LUKES AUCKLAN","D NZ (106)"
08/06/19,-134.96,"","COUNTDOWN ONLINE SHOPPIN","GAUCKLAND NZ (106)"
08/06/19,-23.10,"","COUNTDOWN ST LUKES AUCKL","AND NZ (106)"
08/06/19,-38.00,"","FUNCTIONAL PHYSIO MT EDE","N NZ (114)"
08/06/19,-38.00,"","FUNCTIONAL PHYSIO MT EDE","N NZ (114)"
09/06/19,-50.99,"","ST LUKES TOYS LIMITED AU","CKLAND NZ (106)"
09/06/19,-44.30,"","BURGER FUEL HENDERSON AU","CKLAND NZ (106)"
09/06/19,-13.96,"","KINGS PLANT BARN AUCKLAN","D NZ (114)"
09/06/19,-52.38,"","SP * STITCHFOX LIMITED S","TONEFIELDS NZ (106)"
09/06/19,-27.15,"","SAFFRON FOODS AUCKLAND N","Z (114)"
09/06/19,-626.45,"","AA INSURANCE AUCKLAND NZ"," (114)"
09/06/19,-4.50,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
10/06/19,-69.52,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
10/06/19,-7.00,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
10/06/19,-1.69,"","APPLE NZ GCS SYDNEY AU (","106)"
11/06/19,-55.70,"","ZARA AUCKLAND NZ (106)  "," "
11/06/19,-40.20,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
12/06/19,-31.30,"","PITA PIT TE ATATU AUCKLA","ND NZ (114)"
12/06/19,-38.00,"","FUNCTIONAL PHYSIO MT EDE","N NZ (114)"
12/06/19,-49.79,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
12/06/19,-5.30,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
12/06/19,-24.25,"","ANIMALS AUSTRALIA NORTH ","MELBOUR AU (106) (23.00 AUSTRALIAN DOLLARS)"
12/06/19,-0.61,"","OFFSHORE SERVICE MARGINS"," AU (106)"
12/06/19,-2.99,"","GOOGLE *GOOGLE STORAGE G",".CO/HELPPAY# GB (114)"
