Date,Amount,Reference,Description,Particulars
12/05/20,-3.30,"","TE ATATU POST SHOP AUCKL","AND NZ (114)"
12/05/20,-24.59,"","ANIMALS AUSTRALIA NORTH ","MELBOUR AU (106) (23.00 AUSTRALIAN DOLLARS)"
12/05/20,-0.61,"","OFFSHORE SERVICE MARGINS"," AU (106)"
12/05/20,-2.99,"","GOOGLE *GOOGLE STORAGE G",".CO/HELPPAY# GB (114)"
14/05/20,-62.54,"","Z KUMEU KUMEU NZ (114)  "," "
14/05/20,-65.84,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
14/05/20,-193.27,"","MERIDIAN ENERGY LTD 6403","3539517 NZ (106)"
15/05/20,-12.98,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
16/05/20,-11.99,"","NETFLIX.COM LOS GATOS CA"," NZ (106)"
16/05/20,-26.47,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
17/05/20,-98.00,"","HUE PONSONBY FREEMANS BA","Y NZ (106)"
18/05/20,-6.50,"","WENDYS OLD FASHIONED HAM"," TE ATATU NZ (106)"
18/05/20,-215.69,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
20/05/20,-58.39,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
20/05/20,-19.98,"","FRESH BEER BREW CO AUCKL","AND NZ (106)"
20/05/20,-35.48,"","UNICHEM PENINSULAPHARMAC","YAUCKLAND NZ (106)"
20/05/20,-9.50,"","FARIDAS OREWA NZ (114)  "," "
20/05/20,-39.49,"","UBER EATS HELP.UBER.COM ","AMSTERDAM NZ (106)"
21/05/20,-25.70,"","MCDONALDS TE ATATU RD AU","CKLAND NZ (114)"
22/05/20,-64.22,"","Z TE ATATU TE ATATU NZ (","114)"
22/05/20,-28.20,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
22/05/20,-2.30,"","ALIEXPRESS.COM LONDON GB"," (114)"
23/05/20,-8.00,"","TE ATATU POST SHOP AUCKL","AND NZ (106)"
23/05/20,-15.00,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
24/05/20,-60.00,"","STITCHES ALTERATIONS TE ","ATATU PENI NZ (106)"
24/05/20,-19.99,"","WEST LIQUOR TE ATATU TE ","ATATU NORT NZ (106)"
24/05/20,-5.00,"","Z TE ATATU AUCKLAND NZ (","106)"
24/05/20,-27.50,"","CHELSEABAY* ONLINE AUCKL","AND NZ (106)"
24/05/20,-42.97,"","H&M AUCKLAND NZ (106)   "," "
24/05/20,-46.25,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
24/05/20,-16.20,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
25/05/20,-77.75,"","LIFE PHARMACY NORTHWES A","UCKLAND NZ (106)"
25/05/20,-5.99,"","SURF2SURF 6421529599 NZ ","(114)"
25/05/20,-20.99,"","COUNTDOWN NORTHWEST WEST","GATE NTH NZ (106)"
25/05/20,-95.33,"","COUNTDOWN ONLINE AUCKLAN","D NZ (106)"
25/05/20,-68.67,"","SAFFRON FOODS AUCKLAND N","Z (114)"
25/05/20,-10.90,"","MCDONALDS WAIRAU ROAD AU","CKLAND NZ (114)"
25/05/20,-10.48,"","PAYPAL *ST 4029357733 SG"," (114)"
26/05/20,3170.24,"","PAYMENT - THANK YOU     "," "
26/05/20,-75.04,"","Z TE ATATU TE ATATU NZ (","106)"
26/05/20,-4.90,"","MCDONALDS OREWA OREWA NZ"," (114)"
26/05/20,-16.00,"","SKINNY AUCKLAND NZ (106)"," "
27/05/20,-35.50,"","GUBBA 021771119 NZ (106)"," "
27/05/20,-71.10,"","SLINGSHOT AUCKLAND NZ (1","06)"
27/05/20,-48.52,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
27/05/20,-32.99,"","DOMINOS PIZZA AUCKLAND N","Z (114)"
27/05/20,-12.00,"","PITA PIT MT EDEN AUCKLAN","D NZ (114)"
28/05/20,-15.92,"","NATURE BABY LIMITED GREY"," LYNN NZ (106)"
28/05/20,-63.78,"","Z TE ATATU TE ATATU NZ (","114)"
28/05/20,-11.70,"","MCDONALDS OREWA OREWA NZ"," (114)"
29/05/20,-83.36,"","EAT ME WELLINGTON NZ (11","4)"
29/05/20,-30.00,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
30/05/20,-39.90,"","SHAMPOO N THINGS AUCKLAN","D NZ (106)"
30/05/20,-27.99,"","FARMERS ONLINE AUCKLAND ","NZ (106)"
30/05/20,-55.99,"","COTTON ON AUCKLAND NZ (1","06)"
30/05/20,-15.38,"","DEMOLITION DELI AUCKLAND"," NZ (106)"
31/05/20,-3.49,"","WHITCOULLS STLUKES 100 S","T LUKES NZ (106)"
31/05/20,-10.30,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
31/05/20,-25.80,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
31/05/20,-16.00,"","SKINNY AUCKLAND NZ (106)"," "
01/06/20,-8.75,"","CARD/ACCOUNT FEE (106)  "," "
01/06/20,-8.75,"","CARD/ACCOUNT FEE (114)  "," "
01/06/20,-227.05,"","COUNTDOWN ONLINE AUCKLAN","D NZ (106)"
01/06/20,-31.99,"","DOMINOS PIZZA AUCKLAND N","Z (114)"
01/06/20,-17.71,"","AUDIBLE AUSTRALIA MELBOU","RNE AU (114) (16.45 AUSTRALIAN DOLLARS)"
01/06/20,-0.44,"","OFFSHORE SERVICE MARGINS"," AU (114)"
02/06/20,-27.49,"","TRADEME O082 PING WELLIN","GTON NZ (106)"
02/06/20,-86.94,"","BENDON LINGERIE ST LUKE ","ST LUKES NZ (106)"
02/06/20,-55.96,"","FARMERS ST LUKES AUCKLAN","D NZ (106)"
04/06/20,-24.50,"","TRADEME Q130 PING WELLIN","GTON NZ (106)"
04/06/20,-100.00,"","SAVE ANIMALS FROM EXPLOI","TWELLINGTON NZ (106)"
04/06/20,-39.00,"","SPORTSFUEL NZ LTD HLZ NZ"," (114)"
05/06/20,-48.48,"","SP * THE FIBREGLASS SH H","AMILTON NZ (114)"
05/06/20,-49.19,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
05/06/20,-1.45,"","AMAZON WEB SERVICES AWS.","AMAZON.CO US (114) (0.92 UNITED STATES DOLLARS)"
05/06/20,-0.04,"","OFFSHORE SERVICE MARGINS"," US (114)"
07/06/20,-23.00,"","AMBLER CAFE AND BISTRO A","UCKLAND NZ (106)"
07/06/20,-6.00,"","WINTERGARDENS DOMAIN AUC","KLAND NZ (106)"
07/06/20,-26.00,"","CHINOISERIE MT ALBERT NZ"," (106)"
07/06/20,-4.99,"","GOOGLE YOUTUBE VIDEOS AU","CKLAND NZ (114)"
07/06/20,-152.22,"","COUNTDOWN ONLINE AUCKLAN","D NZ (106)"
08/06/20,-54.98,"","TOYCO ST LUKES AUCKLAND ","NZ (106)"
08/06/20,-18.50,"","LOOK SHARP STORE AUCKLAN","D NZ (106)"
08/06/20,-109.69,"","COUNTDOWN HENDERSON LINC","OLN ROAD NZ (106)"
08/06/20,-9.40,"","MCDONALDS TE ATATU RD AU","CKLAND NZ (106)"
08/06/20,-69.99,"","SURFSTITCHPTY LTD BURLEI"," AU (114)"
09/06/20,-16.99,"","FARRO FRESH MT WELLINGT ","MT WELLINGTON NZ (106)"
09/06/20,-63.96,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
09/06/20,-1.69,"","APPLE.COM/BILL SYDNEY AU"," (106)"
10/06/20,-74.64,"","Z TE ATATU TE ATATU NZ (","106)"
10/06/20,-7.50,"","GUBBA 021771119 NZ (106)"," "
10/06/20,-33.96,"","TE ATATU HAMMER HARDWAR ","AUCKLAND NZ (114)"
11/06/20,-65.65,"","Z TE ATATU TE ATATU NZ (","114)"
11/06/20,-2.99,"","GOOGLE GOOGLE STORAGE AU","CKLAND NZ (114)"
11/06/20,-5.50,"","DEMOLITION DELI AUCKLAND"," NZ (114)"
12/06/20,-5.00,"","CHARLIE AND GEORGE CAFE ","AUCKLAND NZ (106)"
12/06/20,-6.41,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
12/06/20,-24.74,"","ANIMALS AUSTRALIA NORTH ","MELBOUR AU (106) (23.00 AUSTRALIAN DOLLARS)"
12/06/20,-0.62,"","OFFSHORE SERVICE MARGINS"," AU (106)"
13/06/20,-15.00,"","LIFE PHARMACY ST LUKES S","T LUKES NZ (106)"
13/06/20,-13.99,"","WEST LIQUOR TE ATATU TE ","ATATU NORT NZ (106)"
13/06/20,-23.98,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
14/06/20,-129.00,"","AMANO AUCKLAND NZ (114) "," "
14/06/20,-111.33,"","COUNTDOWN ONLINE AUCKLAN","D NZ (106)"
14/06/20,-148.21,"","FARMERS ST LUKES AUCKLAN","D NZ (106)"
15/06/20,-59.00,"","CORNWALL PARK BISTRO AUC","KLAND NZ (106)"
16/06/20,-11.99,"","NETFLIX.COM LOS GATOS CA"," NZ (106)"
16/06/20,-213.88,"","MERIDIAN ENERGY LTD 6403","3539517 NZ (106)"
17/06/20,-100.80,"","WOOP LIMITED AUCKLAND NZ"," (106)"
17/06/20,-3.68,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
18/06/20,-39.99,"","UNICHEM PENINSULAPHARMAC","YAUCKLAND NZ (106)"
18/06/20,-4.66,"","REFILL NATION AUCKLAND N","Z (106)"
18/06/20,-1.28,"","REFILL NATION AUCKLAND N","Z (106)"
18/06/20,-46.61,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
20/06/20,-5.00,"","TRADE ME WELLINGTON NZ (","106)"
20/06/20,-9.00,"","MOBIL OTEHA VALLEY AUCKL","AND NZ (114)"
20/06/20,-22.98,"","TE ATATU HAMMER HARDWAR ","AUCKLAND NZ (114)"
20/06/20,-6.50,"","TE ATATU HAMMER HARDWAR ","AUCKLAND NZ (114)"
20/06/20,-6.00,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
20/06/20,-47.09,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
21/06/20,-98.00,"","HUE PONSONBY FREEMANS BA","Y NZ (106)"
21/06/20,-187.23,"","COUNTDOWN ONLINE AUCKLAN","D NZ (106)"
21/06/20,-10.00,"","SKINNY AUCKLAND NZ (106)"," "
22/06/20,-5.99,"","AMAZON ST LUKES AUCKLAND"," NZ (114)"
22/06/20,-18.30,"","WENDYS OLD FASHIONED HAM"," TE ATATU NZ (106)"
22/06/20,-9.00,"","KMART - ST LUKES AUCKLAN","D NZ (106)"
22/06/20,-16.00,"","KMART - ST LUKES AUCKLAN","D NZ (114)"
22/06/20,-21.99,"","FARMERS ST LUKES AUCKLAN","D NZ (106)"
22/06/20,-19.66,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
22/06/20,-4.79,"","COUNTDOWN ST LUKES AUCKL","AND NZ (106)"
22/06/20,-50.37,"","COUNTDOWN ST LUKES AUCKL","AND NZ (106)"
22/06/20,-10.99,"","COUNTDOWN ST LUKES AUCKL","AND NZ (114)"
23/06/20,1000.00,"","PAYMENT RECEIVED THANKYO","U NZ"
23/06/20,-4.50,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
23/06/20,-16.00,"","SKINNY AUCKLAND NZ (106)"," "
24/06/20,-72.73,"","Z TE ATATU TE ATATU NZ (","106)"
24/06/20,-609.87,"","AA INSURANCE AUCKLAND NZ"," (114)"
25/06/20,-5.99,"","SURF2SURF 6421529599 NZ ","(114)"
25/06/20,-3.60,"","MCDONALDS TE ATATU RD AU","CKLAND NZ (106)"
26/06/20,3404.58,"","PAYMENT - THANK YOU     "," "
26/06/20,-3.50,"","AKLD TRANSPORT PARKING A","UCKLAND NZ (106)"
26/06/20,-62.75,"","Z TE ATATU TE ATATU NZ (","114)"
26/06/20,-67.00,"","PETER SALTER HAIRDRESSIN","GAUCKLAND NZ (106)"
27/06/20,-5.00,"","MURRAY AUCKLAND NZ (114)"," "
27/06/20,-47.76,"","FARRO FRESH GREY LYNN GR","EY LYNN NZ (106)"
27/06/20,-25.98,"","WEST LIQUOR TE ATATU TE ","ATATU NORT NZ (106)"
27/06/20,-5.90,"","WENDYS OLD FASHIONED HAM","BAUCKLAND NZ (114)"
27/06/20,-181.98,"","COUNTDOWN ONLINE AUCKLAN","D NZ (106)"
27/06/20,-40.14,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
27/06/20,-14.30,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
28/06/20,-13.00,"","G4U DOLLAR STORE AUCKLAN","D NZ (114)"
28/06/20,-3.00,"","G4U DOLLAR STORE AUCKLAN","D NZ (114)"
28/06/20,-3.50,"","G4U DOLLAR STORE AUCKLAN","D NZ (114)"
28/06/20,-18.99,"","UNICHEM PENINSULAPHARMAC","YAUCKLAND NZ (114)"
28/06/20,-11.00,"","WENDYS OLD FASHIONED HAM"," TE ATATU NZ (114)"
28/06/20,-7.70,"","COUNTDOWN - TE ATATU SOU","TAUCKLAND NZ (106)"
28/06/20,-47.84,"","COUNTDOWN GREY LYNN AUCK","LAND NZ (106)"
28/06/20,-16.00,"","SKINNY AUCKLAND NZ (106)"," "
29/06/20,-71.10,"","SLINGSHOT AUCKLAND NZ (1","06)"
30/06/20,-6.00,"","ROSSA CAFE MT EDEN NZ (1","14)"
30/06/20,-17.95,"","UNICHEM PENINSULAPHARMAC","YAUCKLAND NZ (114)"
30/06/20,-90.00,"","MEDSTRENGTH AUCKLAND NZ ","(114)"
02/07/20,-64.00,"","HEALTH NEW LYNN AUCKLAND"," NZ (106)"
02/07/20,-50.00,"","HEALTH NEW LYNN AUCKLAND"," NZ (106)"
02/07/20,-100.00,"","SAVE ANIMALS FROM EXPLOI","TWELLINGTON NZ (106)"
02/07/20,-46.60,"","ZARANZ AUKLAND NZ (106) "," "
02/07/20,-55.00,"","WAITAKERE FOOT AUCKLAND ","NZ (114)"
02/07/20,-31.19,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
02/07/20,-11.30,"","MCDONALDS TE ATATU RD AU","CKLAND NZ (114)"
02/07/20,-17.65,"","AUDIBLE AUSTRALIA MELBOU","RNE AU (114) (16.45 AUSTRALIAN DOLLARS)"
02/07/20,-0.44,"","OFFSHORE SERVICE MARGINS"," AU (114)"
03/07/20,-53.70,"","NEW WORLD STONEFIELDS AU","CKLAND NZ NZ (106)"
04/07/20,-197.43,"","TICKETMASTER - AKL AUCKL","AND NZ (114)"
04/07/20,-20.00,"","TE ATATU DISCOUNT SUPERE","TTE ATATU PENI NZ (114)"
04/07/20,-5.00,"","MURRAY AUCKLAND NZ (114)"," "
04/07/20,-9.50,"","MURRAY AUCKLAND NZ (114)"," "
04/07/20,-25.00,"","HELL PIZZA HENDERSON AUC","KLAND NZ (106)"
05/07/20,-29.98,"","WEST LIQUOR TE ATATU TE ","ATATU NORT NZ (106)"
05/07/20,-25.73,"","TE ATATU HAMMER HARDWAR ","AUCKLAND NZ (114)"
05/07/20,-11.30,"","1929 EXPRESSO AUCKLAND N","Z (106)"
05/07/20,-83.36,"","EAT ME WELLINGTON NZ (11","4)"
05/07/20,-3.50,"","3 DOLLAR JAPAN AUCKLAND ","NZ (114)"
05/07/20,-14.19,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
05/07/20,-1.42,"","AMAZON WEB SERVICES AWS.","AMAZON.CO US (114) (0.92 UNITED STATES DOLLARS)"
05/07/20,-0.04,"","OFFSHORE SERVICE MARGINS"," US (114)"
06/07/20,-21.50,"","AMBLER CAFE AND BISTRO A","UCKLAND NZ (106)"
06/07/20,-76.52,"","Z TE ATATU TE ATATU NZ (","106)"
06/07/20,-185.95,"","COUNTDOWN ONLINE AUCKLAN","D NZ (106)"
06/07/20,-15.50,"","BUOY AUCKLAND NZ (106)  "," "
06/07/20,-6.60,"","MCDONALDS TE ATATU RD AU","CKLAND NZ (106)"
06/07/20,-5.50,"","THE SUGARGRILL AUCKLAND ","NZ (114)"
07/07/20,-129.80,"","HUFFER WESTFIELD NEWMARK","ET NZ (106)"
07/07/20,-84.90,"","SP * DOSE AND CO AUCKLAN","D NZ (106)"
07/07/20,-6.00,"","PITA PIT MT EDEN AUCKLAN","D NZ (114)"
07/07/20,-10.60,"","LUKES CAFE AUCKLAND NZ (","106)"
07/07/20,-26.20,"","DOMINOS PIZZA AUCKLAND N","Z (114)"
07/07/20,-50.49,"","COUNTDOWN ST LUKES AUCKL","AND NZ (106)"
08/07/20,-9.00,"","TEED STREET LARDER AUCKL","AND NZ (106)"
08/07/20,-73.77,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
08/07/20,-27.40,"","UNICHEM PENINSULAPHARMAC","YAUCKLAND NZ (106)"
09/07/20,-61.20,"","Z TE ATATU TE ATATU NZ (","114)"
09/07/20,-28.20,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
09/07/20,-21.99,"","UNICHEM PENINSULAPHARMAC","YAUCKLAND NZ (106)"
09/07/20,-1.69,"","APPLE.COM/BILL SYDNEY AU"," (106)"
10/07/20,-340.00,"","CLINIC 42 EPSOM NZ (106)"," "
11/07/20,-2.99,"","GOOGLE GOOGLE STORAGE AU","CKLAND NZ (114)"
11/07/20,-168.34,"","COUNTDOWN ONLINE AUCKLAN","D NZ (106)"
12/07/20,-13.30,"","TE ATATU DISCOUNT SUPERE","TTE ATATU PENI NZ (106)"
12/07/20,-20.90,"","CIVIC CONVENIENCE STORE ","AUCKLAND NZ (114)"
12/07/20,-49.35,"","MITRE 10 MEGA HENDERSON ","HENDERSON NZ (114)"
12/07/20,-15.55,"","MITRE 10 MEGA HENDERSON ","HENDERSON NZ (114)"
13/07/20,-30.50,"","BURGER FUEL HENDERSON AU","CKLAND NZ (106)"
13/07/20,-20.00,"","KISS KISS AUCKLAND NZ (1","06)"
13/07/20,-6.50,"","AUCKLAND TRANSPORT HENDE","RSON NZ (106)"
13/07/20,-18.71,"","COUNTDOWN NORTHWEST WEST","GATE NTH NZ (106)"
13/07/20,-26.00,"","SKINNY AUCKLAND NZ (106)"," "
13/07/20,-10.00,"","DEMOLITION DELI AUCKLAND"," NZ (106)"
14/07/20,-246.96,"","MERIDIAN ENERGY LTD 6403","3539517 NZ (106)"
14/07/20,-14.99,"","H&M NEWMARKET AUCKLAND N","Z (106)"
14/07/20,-55.49,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
14/07/20,-5.00,"","PETAL TEED STREET AUCKLA","ND NZ (106)"
14/07/20,-24.42,"","ANIMALS AUSTRALIA NORTH ","MELBOUR AU (106) (23.00 AUSTRALIAN DOLLARS)"
14/07/20,-0.61,"","OFFSHORE SERVICE MARGINS"," AU (106)"
15/07/20,-6.00,"","PITA PIT TE ATATU AUCKLA","ND NZ (114)"
15/07/20,-21.33,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
16/07/20,-14.50,"","AMANO AUCKLAND NZ (106) "," "
16/07/20,-11.99,"","NETFLIX.COM LOS GATOS CA"," NZ (106)"
16/07/20,-28.90,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
17/07/20,-20.51,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
18/07/20,-11.00,"","MONTANA CATERING AUKL AU","CKLAND NZ (114)"
18/07/20,-5.90,"","WENDYS OLD FASHIONED HAM"," ROYAL OAK NZ (114)"
18/07/20,-17.09,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
19/07/20,-21.00,"","MURRAY AUCKLAND NZ (114)"," "
19/07/20,-176.10,"","AA INSURANCE AUCKLAND NZ"," (106)"
19/07/20,-178.18,"","COUNTDOWN ONLINE AUCKLAN","D NZ (106)"
20/07/20,-71.98,"","Z TE ATATU TE ATATU NZ (","106)"
20/07/20,-4.50,"","MONTANA CATERING AUKL AU","CKLAND NZ (106)"
20/07/20,-21.57,"","Z TE ATATU AUCKLAND NZ (","106)"
20/07/20,-6.60,"","MCDONALDS TE ATATU RD AU","CKLAND NZ (114)"
21/07/20,-12.70,"","WINTERGARDENS DOMAIN AUC","KLAND NZ (114)"
22/07/20,1000.00,"","PAYMENT RECEIVED THANKYO","U NZ"
23/07/20,-45.16,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
25/07/20,-9.99,"","KATHMANDU NZ LTD CHRISTC","HURCH NZ (114)"
25/07/20,-5.99,"","SURF2SURF 6421529599 NZ ","(114)"
25/07/20,-14.99,"","TE ATATU HAMMER HARDWAR ","AUCKLAND NZ (114)"
25/07/20,-28.43,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
25/07/20,-14.99,"","UNICHEM PENINSULAPHARMAC","YAUCKLAND NZ (106)"
25/07/20,-80.00,"","SEA LIFE KELLY TARLTON N","Z NZ (106)"
